path,tempo,zcr,mcentroid,stdcentroid,mrolloff,stdrolloff,mflatness,stdflatness,mloudness,stdloudness,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10
000190.mp3,0.61064625,-0.8230637,-0.6848558,-0.8828602,-0.6048016,-0.7405747,-0.56423897,-0.786782,0.6981567,0.7076477,-0.26908457,-0.64464104,-0.57019025,-0.51474106,-0.29367286,-0.69088984,-0.9785642,-0.9820011,-0.9863662,-0.9809845
000535.mp3,0.24504864,-0.90590394,-0.8101423,-0.9232304,-0.82405615,-0.8309754,-0.7476435,-0.8715011,0.64526737,0.64610255,-0.066696465,-0.5120137,-0.45551527,-0.53652936,-0.31111938,-0.5667782,-0.97593427,-0.97539216,-0.97836554,-0.98126316
000603.mp3,0.19372141,-0.8898339,-0.7628234,-0.85474396,-0.8386079,-0.7574513,-0.62505555,-0.7550367,0.6759001,0.7813581,-0.16646439,-0.6003474,-0.72277147,-0.7972505,-0.71806973,-0.68218446,-0.99138427,-0.99139756,-0.9882581,-0.99337065
000667.mp3,0.17024505,-0.76554346,-0.63861144,-0.88777745,-0.39873487,-0.69910026,-0.61955124,-0.8484317,0.6073009,0.5162835,0.448565,0.10410297,0.23930097,0.17428792,0.20815897,0.0522511,-0.90890044,-0.91909105,-0.92263323,-0.9177624
000679.mp3,0.18315494,-0.82664007,-0.65523505,-0.85137653,-0.5820465,-0.65622544,-0.40584064,-0.7233441,0.7438098,0.7110021,0.7240157,-0.031123519,-0.2264775,-0.2169959,-0.13913435,-0.253002,-0.95663035,-0.95655704,-0.96118426,-0.95892453
000694.mp3,0.13943613,-0.7060231,-0.46567684,-0.8035634,-0.26108867,-0.45918232,-0.031293035,-0.7074218,0.71073425,0.6742486,0.854401,-0.018675745,-0.106515646,-0.06791371,0.0052210093,-0.000349164,-0.946326,-0.9464268,-0.9485553,-0.9475517
000706.mp3,0.13206184,-0.70598584,-0.4569462,-0.87467796,-0.20334882,-0.57270086,-0.068534374,-0.80657375,0.8320743,0.7938521,0.2771747,-0.20078301,-0.15162784,-0.0892055,-0.10186112,-0.23165226,-0.94912004,-0.94930637,-0.9540925,-0.9500871
000776.mp3,0.095119596,-0.6117728,-0.44533896,-0.79327404,-0.08959758,-0.5089767,-0.06824458,-0.6034713,0.7698486,0.7222514,0.48792434,-0.0086449385,-0.092659175,-0.12772566,0.020314813,-0.07469964,-0.9435714,-0.9433016,-0.943581,-0.9478464
000814.mp3,0.013754964,-0.9153474,-0.85158354,-0.93963665,-0.86579555,-0.9115385,-0.8503439,-0.87193495,0.67020893,0.6338297,-0.54076135,-0.6591728,-0.59934676,-0.74479073,-0.5263884,-0.80637515,-0.98749363,-0.9870233,-0.9929555,-0.99348927
000835.mp3,-0.098640025,-0.9093533,-0.77525526,-0.91093326,-0.8187345,-0.859401,-0.62221956,-0.78634715,0.58267725,0.59957886,-0.117985904,-0.5881071,-0.5791263,-0.6395202,-0.5241967,-0.646768,-0.9845526,-0.9833012,-0.98553586,-0.9872794
